title,author,year,imagePath,gamePath,description
Avoid,しゅーと,2017,image/games/avoid.png,https://drive.google.com/open?id=0B3bkMiN1is2VT1NJUjk0WDRPTTg,"横もちろん俺らは抵抗するで...かわして！

障害物を避けるだけのゲームです

ハイスコアを目指しましょう！！
ブログ記事は<a href=""http://ocumcr.blog66.fc2.com/blog-entry-158.html"">こちら</a>。"
I wanna be the TMT,zank,2017,image/games/TMT.png,https://drive.google.com/open?id=0B3bkMiN1is2VZDR0ZjBnU1YxazA,"このゲームは死にゲーと呼ばれるゲームです。

一応チュートリアルは用意してますが全体的に難しいです。
ブログ記事は<a href=""http://ocumcr.blog66.fc2.com/blog-entry-157.html"">こちら</a>。"
北海道はでっかいどう,,,,,
ブロック崩し,,,,,
ボンバークラッシュ,,,,,
the breaker,,,,,
音ゲー,,,,,
リバーシ,,,,,
数〇しませんか,,,,,
元素クリッカー,,,,,
Simplified,,,,,
spacefitghters,,,,,
もこたたき,,,,,
マインスイーパー,,,,,
はじっこまで行け,,,,,
Lycoris Flight,,,,,
STEP TO THE SKY,,,,,
ブロック崩し,,,,,
イライラ棒,,,,,
シューティング,,,,,
テトリス,,,,,